Chamber,Volume (um^3),Centroid X,Centroid Y,Centroid Z
1,1519.067692,790.273715,947.1172865,453.731201
2,423.168857,800.3547426,954.0143828,450.9992667
3,1139.300769,801.7997167,944.2200973,464.236388
4,2707.195637,785.5542623,936.5239281,468.6528309
5,6727.299779,770.2097269,941.8412105,454.1172455
6,17740.54055,779.0148539,952.0797101,431.4036629
7,23588.95116,810.6711684,947.0430947,431.7092533
8,28146.15423,819.5384956,925.7221813,454.7856302
9,55277.78826,792.6812244,907.2281618,473.0767906
10,127824.121,748.8339125,906.8281016,458.0008045
11,233106.3626,743.5526416,931.0394428,400.9858749
12,530149.1992,815.3178869,941.4147948,371.8329521
13,1040610.196,876.3620529,888.9579478,429.9080932
14,1085341.314,818.64409,827.8897202,498.2895564
15,2250536.762,710.866944,810.0553488,481.1860203
16,1730125.872,651.7275089,847.0709969,393.0151288
17,2798247.469,675.3247014,899.9678773,290.0132549
18,4510008.898,798.6003551,930.2500272,228.4772236
19,6496217.031,949.4518756,901.2302876,231.3315034
20,7777235.965,1036.116873,801.7006592,365.4461695
21,6215726.607,982.8340886,716.6077237,509.5566129
22,6834399.476,863.8481275,657.6217854,603.0625675
