Chamber,Volume,Centroid X,Centroid Y,Centroid Z
1,640.1348087,923.6687542,799.5847347,291.3063331
2,119.3471677,925.1930182,797.2441909,282.9729682
3,466.5389284,919.6988302,789.9594698,286.9793791
4,981.9016981,917.4586011,791.5492807,299.7068967
5,1350.792944,923.3736916,803.2416819,305.4884181
6,2826.357927,931.293353,813.1629466,294.7240152
7,5131.928212,929.0564093,810.7642024,276.5315064
8,3439.368379,916.5105658,798.8098088,271.6465514
9,15829.77434,901.6692931,786.8315478,283.0418333
10,30097.18575,898.2388312,798.1006001,312.4024353
11,47413.37482,914.8556264,833.3028656,315.5464111
12,64344.39802,926.606485,845.9443215,276.7932476
13,105350.9999,912.0585846,828.7444486,240.2309472
14,138800.7561,877.9307641,791.9989871,240.3636022
15,221633.1153,846.7041914,772.8001913,282.966773
16,402324.7273,839.5685032,800.8499685,344.767788
17,558490.4963,869.6744348,867.5120668,368.3171406
18,798139.6091,906.4015267,924.663013,320.6322583
19,1007686.111,926.9761804,936.2050394,235.8738918
20,1545274.579,905.0381483,890.421149,152.750122
21,1079359.51,847.9973016,796.4492166,141.0277612
