Time Step,ID,Label (NA),Voxel count (NA),Volume,Surface Area,Volume/Surface Area (interpolated) ,Surface Area (pixel-wise),Volume/Surface Area (pixel-wise),Surface Area X / 2 ,Surface Area Y / 2,Surface Area Z / 2,Surface Area X,Surface Area Y,Surface Area Z,Phi,Theta,Aspect Ratio (NA),Center Of Mass X,Center Of Mass Y,Center Of Mass Z,Min Location X,Min Location Y,Min Location Z,Max Location X,Max Location Y,Max Location Z,Min Feret Diameter,Mean Feret Diameter,Max Feret Diameter,Min Ortho Feret Diameter,Min Ortho/Max Feret Diameter (NA)
0,22,1,280,1519.067692,653.2927959,2.325247885,969.4878676,1.566876433,166.7272129,163.6396719,154.377049,333.4544258,327.2793438,308.754098,39.21983961,67.21712286,0.890899301,790.273715,947.1172865,453.731201,782.80587,939.19133,447.19213,796.86299,953.24845,461.24925,14.05712101,16.68637098,18.1604267,14.93536152,0.822412478
0,21,2,78,423.168857,326.4024822,1.296463355,475.4813109,0.88998,83.36360645,74.10098351,80.27606547,166.7272129,148.201967,160.5521309,70.90467815,-51.68670488,0.455835109,800.3547426,954.0143828,450.9992667,793.34871,947.97703,447.19213,805.64869,958.51987,455.97783,8.697438476,11.20698748,15.11296202,8.785689715,0.581334731
0,20,3,210,1139.300769,595.666931,1.912647336,920.0872119,1.23825302,169.8147539,135.8518031,154.377049,339.6295078,271.7036062,308.754098,70.65687567,-127.2806527,0.648340583,801.7997167,944.2200973,464.236388,795.10585,935.67705,457.73497,809.16297,951.49131,471.79209,12.43757741,16.47273115,19.27554489,12.8283478,0.665524522
0,19,4,499,2707.195637,1010.481149,2.679115428,1519.070162,1.782139959,268.6160652,253.1783603,237.7406554,537.2321305,506.3567207,475.4813109,39.29201961,95.68306894,0.696058766,785.5542623,936.5239281,468.6528309,777.53445,928.64849,455.97783,795.10585,946.21989,477.06351,17.39483579,22.15194562,23.83223213,17.45941246,0.73259661
0,18,5,1240,6727.299779,1952.073084,3.446233562,2933.163931,2.293530105,503.2691797,463.1311469,500.1816387,1006.538359,926.2622939,1000.363277,67.23299562,113.3773923,0.718609475,770.2097269,941.8412105,454.1172455,758.20591,928.64849,441.92071,782.80587,956.76273,468.27781,21.15420141,27.4588277,31.87113227,22.35229355,0.701333525
0,17,6,3270,17740.54055,3637.842671,4.876665142,5279.695075,3.360144912,812.0232776,833.6360645,994.1881954,1624.046555,1667.272129,1988.376391,78.33689401,-159.5654964,0.775920963,779.0148539,952.0797101,431.4036629,758.20591,932.16277,417.32075,796.86299,969.06271,445.43499,28.11424201,34.397968,41.13362443,28.11424201,0.68348565
0,16,7,4348,23588.95116,4680.829452,5.039481016,6996.36786,3.371599612,1160.915408,1139.302621,1197.9659,2321.830817,2278.605243,2395.9318,88.51996771,-118.9922389,0.687475766,810.6711684,947.0430947,431.7092533,791.59157,925.13421,413.80647,830.24865,965.54843,454.22069,34.99638365,41.11652952,48.85329192,35.58534894,0.728412509
0,15,8,5188,28146.15423,5510.578302,5.107658887,8262.259661,3.406592795,1275.154425,1574.6459,1281.329507,2550.308849,3149.291799,2562.659013,64.52480261,29.83138509,0.638861988,819.5384956,925.7221813,454.7856302,793.34871,907.56281,433.13501,840.79149,946.21989,477.06351,35.64075057,46.83074699,53.66105181,35.83578653,0.667817445
0,14,9,10189,55277.78826,8579.303807,6.443155471,12584.81703,4.392418906,2133.490817,2346.531144,1812.386555,4266.981634,4693.062289,3624.77311,11.38764186,14.08210692,0.630895343,792.6812244,907.2281618,473.0767906,768.74875,888.23427,436.64929,826.73437,930.40563,501.66347,40.79270704,60.39349814,66.44593375,40.57794025,0.610691098
0,13,10,23561,127824.121,16250.68223,7.865769526,23724.66489,5.387815661,3529.05934,4297.857044,4035.41606,7058.118679,8595.714087,8070.832121,26.24612006,-173.2460443,0.691372438,748.8339125,906.8281016,458.0008045,709.00599,881.20571,422.59217,784.56301,946.21989,501.66347,56.1851666,74.86642226,84.82236992,57.38929063,0.676582023
